Key,Score,Item,Recipe,(Score),Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Score Delta
0,97.7,Heavy Modular Frame,Alternate: Heavy Encased Frame,(97.7) Heavy Encased Frame,-1.83%,-6.53%,-7.65%,-2.77%,-6.02%,-2.51%,
1,92.3,Copper Ingot,Alternate: Copper Alloy Ingot,(92.3) Copper Alloy Ingot,0.55%,0.07%,-23.37%,0.10%,-1.24%,-8.11%,-5.4
2,92,Aluminum Ingot,Alternate: Pure Aluminum Ingot,(92) Pure Aluminum Ingot,-0.66%,-1.67%,-2.16%,-2.16%,-2.70%,-5.28%,-0.3
3,87.6,Diamonds,Alternate: Oil-Based Diamonds,(87.6) Oil-Based Diamonds,-2.54%,-4.89%,-0.82%,-10.88%,-0.81%,-2.05%,-4.5
4,87.3,Dark Matter Crystal,Alternate: Dark Matter Trap,(87.3) Dark Matter Trap,-0.52%,-1.53%,0.05%,-2.26%,-0.27%,-5.58%,-0.3
5,86.7,Heavy Modular Frame,Alternate: Heavy Flexible Frame,(86.7) Heavy Flexible Frame,-1.02%,-3.62%,-3.84%,-2.19%,-3.12%,-0.80%,-0.6
6,86.1,Alumina Solution,Alternate: Sloppy Alumina,(86.1) Sloppy Alumina,-0.90%,-2.46%,1.20%,-4.81%,-3.05%,-0.65%,-0.6
7,83,Crystal Oscillator,Alternate: Insulated Crystal Oscillator,(83) Insulated Crystal Oscillator,-1.34%,-1.62%,-3.05%,-1.38%,-3.71%,-1.06%,-3.1
8,80.4,Circuit Board,Alternate: Silicon Circuit Board,(80.4) Silicon Circuit Board,-1.92%,-0.71%,-3.19%,-0.66%,-4.09%,-0.88%,-2.6
9,79.1,Computer,Alternate: Crystal Computer,(79.1) Crystal Computer,-1.23%,-2.01%,-2.15%,-1.42%,-2.41%,-0.96%,-1.3
10,78.8,Fused Modular Frame,Alternate: Heat-Fused Frame,(78.8) Heat-Fused Frame,-0.35%,-2.77%,-2.57%,-1.00%,-0.85%,-1.62%,-0.3
11,78.3,Uranium Fuel Rod,Alternate: Uranium Fuel Unit,(78.3) Uranium Fuel Unit,-1.64%,-1.63%,-1.55%,-1.94%,-0.81%,-2.65%,-0.5
12,77.2,Circuit Board,Alternate: Caterium Circuit Board,(77.2) Caterium Circuit Board,-1.96%,-0.69%,-2.72%,-1.78%,-3.80%,-0.43%,-1.1
13,73.3,Supercomputer,Alternate: Super-State Computer,(73.3) Super-State Computer,-0.83%,-0.97%,-2.77%,-0.40%,-2.18%,-0.93%,-3.9
14,72,Diamonds,Alternate: Turbo Diamonds,(72) Turbo Diamonds,-3.09%,-1.73%,0.71%,-6.00%,1.19%,-3.10%,-1.3
15,71.3,Computer,Alternate: Caterium Computer,(71.3) Caterium Computer,-1.01%,-1.16%,-1.25%,-0.85%,-1.93%,-0.60%,-0.7
16,71,Aluminum Scrap,Alternate: Electrode Aluminum Scrap,(71) Electrode Aluminum Scrap,0.23%,-1.27%,1.23%,-5.41%,1.17%,-3.27%,-0.3
17,69.6,Fuel,Alternate: Diluted Fuel,(69.6) Diluted Fuel,-0.96%,0.17%,-1.67%,1.32%,-2.63%,-0.57%,-1.5
18,67.9,Turbo Motor,Alternate: Turbo Pressure Motor,(67.9) Turbo Pressure Motor,-0.58%,-0.74%,-0.94%,-0.61%,-1.23%,-1.05%,-1.7
19,67.4,Concrete,Alternate: Rubber Concrete,(67.4) Rubber Concrete,-0.27%,-1.56%,-3.80%,-4.03%,-0.52%,-0.84%,-0.5
20,66.7,AI Limiter,Alternate: Plastic AI Limiter,(66.7) Plastic AI Limiter,-0.42%,-1.02%,-1.57%,-1.20%,-1.31%,-0.48%,-0.8
21,65.5,Screw,Alternate: Steel Screw,(65.5) Steel Screw,-0.42%,-0.51%,-5.15%,-0.14%,-2.07%,-0.02%,-1.2
22,64.4,Motor,Alternate: Rigor Motor,(64.4) Rigor Motor,-0.02%,-1.17%,-1.12%,-0.68%,-0.50%,-0.71%,-1
23,64.2,Iron Rod,Alternate: Steel Rod,(64.2) Steel Rod,-0.30%,-0.71%,-3.05%,-0.83%,-1.41%,-0.25%,-0.3
24,63.5,Concrete,Alternate: Fine Concrete,(63.5) Fine Concrete,-0.25%,-1.32%,-2.92%,-3.79%,-0.04%,-0.84%,-0.7
25,63.1,Modular Frame,Alternate: Steeled Frame,(63.1) Steeled Frame,-0.42%,-0.02%,-1.85%,0.17%,-2.04%,-0.10%,-0.4
26,62.6,Steel Beam,Alternate: Aluminum Beam,(62.6) Aluminum Beam,-0.64%,-1.11%,-2.30%,-0.66%,-1.64%,0.64%,-0.5
27,61,Iron Rod,Alternate: Aluminum Rod,(61) Aluminum Rod,-0.33%,-0.54%,-3.06%,-0.71%,-1.44%,0.16%,-1.6
28,60.8,Turbo Motor,Alternate: Turbo Electric Motor,(60.8) Turbo Electric Motor,-0.33%,-0.19%,-0.32%,-0.39%,-0.59%,-0.96%,-0.2
29,60,Motor,Alternate: Electric Motor,(60) Electric Motor,-0.07%,-0.68%,-0.50%,-0.53%,-0.34%,-0.60%,-0.8
30,59.2,Concrete,Alternate: Wet Concrete,(59.2) Wet Concrete,0.08%,-0.23%,-4.00%,-0.56%,-0.71%,-0.56%,-0.8
31,59.2,Automated Wiring,Alternate: Automated Speed Wiring,(59.2) Automated Speed Wiring,-0.06%,-0.57%,-1.01%,-0.06%,-0.70%,-0.24%,0
32,59,Steel Ingot,Alternate: Coke Steel Ingot,(59) Coke Steel Ingot,-0.08%,-0.07%,-0.15%,-2.94%,-0.47%,-0.89%,-0.2
